id,start_lat,start_lng,end_lat,end_lng
1579,-6.10999800,106.77818200,-6.10896600,106.77860800
1580,-6.14527100,106.90144100,-6.14662300,106.89842100
1581,-6.27197400,106.72631000,-6.27073800,106.72975600
1582,-6.16843500,106.91566700,-6.16423000,106.91376600
1583,-6.14406300,106.78160300,-6.14430500,106.77893900
1584,-6.12112200,106.90796300,-6.12846000,106.91309200
1585,-6.13636300,106.85617900,-6.13960800,106.85946000
1586,-6.27831400,106.86221700,-6.27459800,106.86132100
1587,-6.22087100,106.78177400,-6.21331100,106.78169000
1588,-6.27398600,106.71030600,-6.27195500,106.70808900
1589,-6.25562400,106.85482400,-6.25798300,106.85143900
1590,-6.26143200,106.82905900,-6.26601800,106.83066800
1591,-6.22499300,106.81002800,-6.22377400,106.81430600
1592,-6.29624800,106.93335500,-6.29337400,106.93241900
1593,-6.16680400,106.76640800,-6.16454700,106.77200200
1594,-6.23686800,106.85361900,-6.22681300,106.85739800
1595,-6.22669800,106.71374300,-6.21491900,106.70584700
1596,-6.20495000,106.82595200,-6.20766600,106.82596000
1597,-6.29389200,106.82183400,-6.29404000,106.81617900
1598,-6.16945400,106.79462700,-6.16917900,106.78387800
1599,-6.21387600,106.60460300,-6.20353800,106.60116900
1600,-6.18728200,106.82951800,-6.18571900,106.83184300
1601,-6.21502100,106.84400000,-6.21076000,106.83802500
1602,-6.19575200,106.85001200,-6.19681400,106.85118600
1603,-6.16916500,106.78298200,-6.17011400,106.78239400
1604,-6.17269900,106.85230300,-6.16613000,106.85556900
1605,-6.16016500,106.81889600,-6.16423400,106.81598800
1606,-6.23993000,106.75655500,-6.23895800,106.75408800
1607,-6.25813300,106.78954500,-6.25617100,106.78790800
1608,-6.25304800,106.70829100,-6.25613100,106.69768900
1609,-6.19664300,106.84864900,-6.19312100,106.85228600
1610,-6.23771900,106.99998100,-6.23966100,107.00050000
1611,-6.24863300,106.80948300,-6.26314300,106.80848300
1612,-6.21012800,106.81246800,-6.21115400,106.81246000
1613,-6.20667400,106.80788400,-6.20609900,106.80739600
1614,-6.20939800,106.83314500,-6.20868000,106.83243800
1615,-6.22518300,106.85711800,-6.22821400,106.85502800
1616,-6.20207900,106.87296900,-6.20662100,106.86743300
1617,-6.29114900,106.85567900,-6.29040700,106.86019700
1618,-6.19996400,106.80080000,-6.19972100,106.80131600
1619,-6.30513700,106.99756300,-6.29398000,106.99593600
1620,-6.21541900,106.82385300,-6.21479400,106.82428600
1621,-6.11014500,106.78004100,-6.10940300,106.77922500
1622,-6.14697300,106.81915100,-6.14510200,106.81952500
1623,-6.22094200,106.83554600,-6.21906700,106.83660200
1624,-6.38245800,106.81419300,-6.38138300,106.81312300
1625,-6.18631100,106.83616100,-6.18613800,106.83146100
1626,-6.24383300,106.80496200,-6.24170700,106.80780400
1627,-6.25564500,106.84397400,-6.25672100,106.83204400
1628,-6.25266300,106.80020600,-6.25311500,106.79721400
1629,-6.21526000,106.82560000,-6.21406900,106.82048800
1630,-6.32328700,106.76380900,-6.32030900,106.75165300
1631,-6.28414000,106.85536800,-6.28462100,106.85694800
1632,-6.20766600,106.82700900,-6.21017000,106.82248100
1633,-6.34438700,106.79220000,-6.34808200,106.79970100
1634,-6.14810700,106.72922400,-6.14887700,106.72207600
1635,-6.14824100,106.81327600,-6.15294100,106.81826400
1636,-6.32673700,106.82958000,-6.32678700,106.83327400
1637,-6.32514500,106.81084100,-6.31574300,106.80410800
1638,-6.24215200,106.78773400,-6.23545300,106.77479800
1639,-6.14841600,106.82778900,-6.15301400,106.82750000
1640,-6.29366100,106.87830300,-6.27635800,106.87340100
1641,-6.22689800,106.80182200,-6.22647500,106.80236900
1642,-6.23317600,106.89202500,-6.23109000,106.89090400
1643,-6.16349800,106.90990400,-6.16312000,106.91122400
1644,-6.19711800,106.76879200,-6.19762500,106.77232900
1645,-6.14593900,106.87455100,-6.15422200,106.88025100
1646,-6.25364100,106.60811600,-6.26512600,106.61002700
1647,-6.23166300,106.89749000,-6.22419800,106.89800400
1648,-6.16941300,106.78882400,-6.17400000,106.78911900
1649,-6.28601600,106.93569600,-6.28901100,106.93627900
1650,-6.23155100,106.76065100,-6.22653700,106.76054800
1651,-6.18895100,106.89919800,-6.19113200,106.89454900
1652,-6.17440800,106.79053600,-6.17544900,106.78847100
1653,-6.27651300,106.91286500,-6.27777300,106.91024000
1654,-6.26523800,106.94402300,-6.26974900,106.94285900
1655,-6.24160800,106.99289800,-6.24614600,106.99268600
1656,-6.30934400,106.69627600,-6.30585100,106.69344300
1657,-6.18940900,106.79687100,-6.17846500,106.79179700
1658,-6.17457700,106.85400500,-6.17617500,106.84814300
1659,-6.26599200,106.87785700,-6.27137900,106.87583800
1660,-6.21827200,106.76329800,-6.21656300,106.76423800
1661,-6.33482300,106.96365600,-6.34029300,106.96862500
1662,-6.20763300,106.82647000,-6.20887600,106.82501300
1663,-6.12526100,106.79800300,-6.12380200,106.79803800
1664,-6.40078900,106.82773000,-6.40225300,106.82095000
1665,-6.26107400,106.86376100,-6.26242100,106.86470400
1666,-6.19973300,106.85416100,-6.20218000,106.85790000
1667,-6.23877800,106.79182200,-6.23701900,106.79227200
1668,-6.20807400,106.85927100,-6.21028300,106.86014200
1669,-6.26776900,106.92808200,-6.25057000,106.92449400
1670,-6.14482700,106.83776000,-6.14445000,106.84178200
1671,-6.44368000,106.85920600,-6.44415400,106.85765700
1672,-6.24608900,106.91715300,-6.24618600,106.91816300
1673,-6.28078100,106.93156700,-6.27650800,106.92667000
1674,-6.19933800,106.85360500,-6.19762600,106.85591600
1675,-6.19450300,106.78987800,-6.19611600,106.79572900
1676,-6.30344600,106.85995300,-6.30064300,106.85903600
1677,-6.17441000,106.87074700,-6.17955600,106.86903600
1678,-6.27876000,106.86998100,-6.27722100,106.87160600
1679,-6.30963500,106.89913000,-6.30926500,106.89855100
1680,-6.23284800,106.90003400,-6.22585000,106.89873500
1681,-6.21157100,106.87433500,-6.20337800,106.86837500
1682,-6.22112300,106.92337900,-6.22050100,106.92112200
1683,-6.18411700,106.85244100,-6.18017100,106.85166900
1684,-6.15817500,106.78367200,-6.16153700,106.78148800
1685,-6.31823800,106.90904800,-6.31619500,106.91747700
1686,-6.18133800,106.81244100,-6.17970400,106.81277100
1687,-6.19275000,106.85438100,-6.18920300,106.85979000
1688,-6.18840100,106.87251100,-6.18854100,106.87333700
1689,-6.23354500,106.87046500,-6.23157600,106.87183000
1690,-6.13468300,106.84366500,-6.13760100,106.84266600
1691,-6.15308800,106.71859400,-6.15544100,106.71942300
1692,-6.20342200,106.80794600,-6.20398000,106.80374000
1693,-6.31938900,106.81726900,-6.39769800,106.77930900
1694,-6.29010400,106.66561700,-6.29208400,106.67492500
1695,-6.23985500,106.88053100,-6.23961600,106.88239800
1696,-6.22971800,106.75732500,-6.23294100,106.75625000
1697,-6.16780800,106.81510500,-6.16856000,106.81637100
1698,-6.28224800,106.69880800,-6.27550800,106.69940800
1699,-6.39194100,106.74393700,-6.39918900,106.73811500
1700,-6.14979800,106.81891300,-6.14491800,106.81984100
1701,-6.13942700,106.83234200,-6.13641500,106.83083600
1702,-6.27713400,106.84038300,-6.28006100,106.84365000
1703,-6.16678800,106.90071000,-6.16134500,106.90692100
1704,-6.30054800,106.68359100,-6.29816300,106.69292800
1705,-6.22535600,106.86175500,-6.23297800,106.86137300
1706,-6.34466500,106.82829400,-6.33109600,106.83182100
1707,-6.21153600,106.85251500,-6.21026100,106.85073800
1708,-6.37294900,106.85740600,-6.37125700,106.86141400
1709,-6.28598600,106.81889500,-6.28218900,106.82284500
1710,-6.12247800,106.66149000,-6.12160500,106.66128300
1711,-6.20621300,106.85852100,-6.20331800,106.86405900
1712,-6.18831300,106.89099800,-6.19067600,106.89457300
1713,-6.16486000,106.76472800,-6.16709400,106.76943500
1714,-6.14504200,106.84385400,-6.14376400,106.84223400
1715,-6.23485000,106.86257100,-6.23568300,106.86232000
1716,-6.18979500,106.79557000,-6.18993900,106.79193100
1717,-6.27349300,106.81763800,-6.27891800,106.82004100
1718,-6.29213200,106.80598700,-6.29160300,106.81306200
1719,-6.24484300,106.80362300,-6.25712700,106.81752000
1720,-6.24331400,106.80652300,-6.24111900,106.80954600
1721,-6.29132200,106.84208600,-6.29038100,106.84017700
1722,-6.31727900,106.94027500,-6.32009700,106.93225000
1723,-6.28318400,106.82659100,-6.27695800,106.82485800
1724,-6.21919800,106.81991400,-6.21623000,106.82359500
1725,-6.14383100,106.91088000,-6.14217800,106.91036400
1726,-6.14118000,106.83343000,-6.14160500,106.83490600
1727,-6.25574100,106.84465700,-6.25206300,106.84252400
1728,-6.23448900,106.84729700,-6.24299400,106.84963900
1729,-6.12421800,106.91101300,-6.11942900,106.91265200
1730,-6.14803200,106.83749600,-6.15018600,106.84068700
1731,-6.16730500,106.82055900,-6.16474100,106.82355400
1732,-6.18150400,106.78716600,-6.18069500,106.78692300
1733,-6.33066400,106.80657500,-6.33523000,106.81315300
1734,-6.23162700,106.92239800,-6.23774700,106.91361300
1735,-6.21740900,106.81440500,-6.21022200,106.80787700
